Province/State,Country/Region,Last Update,Confirmed,Recovered,Deaths,Date_last_updated,lat,lon
湖北武汉,China,11/02/2020 14:22,18454,1206,748,2020-02-11 14:22:13,30.58333,114.26666999999999
湖北孝感,China,11/02/2020 14:22,2642,139,41,2020-02-11 14:22:13,30.9203436,113.94965159999998
湖北黄冈,China,11/02/2020 14:22,2332,279,52,2020-02-11 14:22:13,30.45143,114.87035
湖北随州,China,11/02/2020 14:22,1095,26,12,2020-02-11 14:22:13,31.6921655,113.375823
湖北荆州,China,11/02/2020 14:22,1075,56,17,2020-02-11 14:22:13,30.3543831,112.18809579999999
湖北襄阳,China,11/02/2020 14:22,1063,49,12,2020-02-11 14:22:13,32.0422,112.14478999999999
湖北黄石,China,11/02/2020 14:22,835,82,5,2020-02-11 14:22:13,30.247059999999998,115.04813999999999
湖北鄂州,China,11/02/2020 14:22,790,61,26,2020-02-11 14:22:13,30.407908399999997,114.8784297
湖北宜昌,China,11/02/2020 14:22,772,52,8,2020-02-11 14:22:13,30.77135,111.32146000000002
湖北荆门,China,11/02/2020 14:22,656,69,21,2020-02-11 14:22:13,31.034858899999996,112.1973384
湖北咸宁,China,11/02/2020 14:22,515,51,5,2020-02-11 14:22:13,29.666090000000004,114.26388999999999
湖北十堰,China,11/02/2020 14:22,505,59,1,2020-02-11 14:22:13,32.452690000000004,110.56081
湖北仙桃,China,11/02/2020 14:22,438,41,11,2020-02-11 14:22:13,30.376818300000004,113.4418416
湖北天门,China,11/02/2020 14:22,261,12,10,2020-02-11 14:22:13,30.6635516,113.16161909999998
湖北恩施州,China,11/02/2020 14:22,195,31,2,2020-02-11 14:22:13,30.198096500000002,109.6755462
湖北潜江,China,11/02/2020 14:22,90,3,3,2020-02-11 14:22:13,30.35527,112.79923000000001
湖北神农架,China,11/02/2020 14:22,10,6,0,2020-02-11 14:22:13,31.58339,110.497198
湖北地区待确认,China,11/02/2020 14:22,0,0,0,2020-02-11 14:22:13,31.0,112.25
广东深圳,China,11/02/2020 14:22,375,56,0,2020-02-11 14:22:13,22.555454,114.0543297
广东广州,China,11/02/2020 14:22,317,49,0,2020-02-11 14:22:13,23.1301964,113.25929450000001
广东珠海,China,11/02/2020 14:22,86,4,0,2020-02-11 14:22:13,22.27694,113.56778
广东佛山,China,11/02/2020 14:22,70,4,0,2020-02-11 14:22:13,23.026770000000003,113.13148000000001
广东东莞,China,11/02/2020 14:22,62,3,0,2020-02-11 14:22:13,23.0444712,113.74655120000001
广东中山,China,11/02/2020 14:22,58,16,0,2020-02-11 14:22:13,21.31992,110.5723
广东惠州,China,11/02/2020 14:22,53,4,0,2020-02-11 14:22:13,23.1060862,114.41411049999999
广东汕头,China,11/02/2020 14:22,25,6,0,2020-02-11 14:22:13,23.356377,116.6775918
广东湛江,China,11/02/2020 14:22,21,7,0,2020-02-11 14:22:13,21.28145,110.34271000000001
广东江门,China,11/02/2020 14:22,20,2,0,2020-02-11 14:22:13,22.576629399999998,113.079047
广东肇庆,China,11/02/2020 14:22,15,4,1,2020-02-11 14:22:13,23.0515551,112.47284509999999
广东梅州,China,11/02/2020 14:22,13,4,0,2020-02-11 14:22:13,24.3053552,116.1177436
广东阳江,China,11/02/2020 14:22,13,1,0,2020-02-11 14:22:13,21.855629999999998,111.96271999999999
广东茂名,China,11/02/2020 14:22,11,1,0,2020-02-11 14:22:13,21.6656562,110.9196315
广东清远,China,11/02/2020 14:22,10,5,0,2020-02-11 14:22:13,23.7,113.03333
广东揭阳,China,11/02/2020 14:22,8,1,0,2020-02-11 14:22:13,23.5418,116.36581000000001
广东韶关,China,11/02/2020 14:22,7,3,0,2020-02-11 14:22:13,24.8,113.58333
广东汕尾,China,11/02/2020 14:22,5,1,0,2020-02-11 14:22:13,22.789367499999997,115.3721503
广东潮州,China,11/02/2020 14:22,5,0,0,2020-02-11 14:22:13,23.6566146,116.6205482
广东河源,China,11/02/2020 14:22,3,1,0,2020-02-11 14:22:13,23.73333,114.68333
广东地区待确认,China,11/02/2020 14:22,0,9,0,2020-02-11 14:22:13,23.5,113.25
浙江温州,China,11/02/2020 14:22,474,99,0,2020-02-11 14:22:13,27.9958689,120.6915792
浙江杭州,China,11/02/2020 14:22,157,47,0,2020-02-11 14:22:13,30.248963399999997,120.20523419999999
浙江宁波,China,11/02/2020 14:22,151,18,0,2020-02-11 14:22:13,29.862219399999997,121.62038729999999
浙江台州,China,11/02/2020 14:22,143,35,0,2020-02-11 14:22:13,28.6581723,121.4163876
浙江金华,China,11/02/2020 14:22,53,16,0,2020-02-11 14:22:13,29.108034399999998,119.6486487
浙江绍兴,China,11/02/2020 14:22,41,12,0,2020-02-11 14:22:13,29.999242499999998,120.576854
浙江嘉兴,China,11/02/2020 14:22,40,5,0,2020-02-11 14:22:13,30.6509396,120.78316559999999
浙江衢州,China,11/02/2020 14:22,21,5,0,2020-02-11 14:22:13,28.973887,118.85409240000001
浙江丽水,China,11/02/2020 14:22,17,5,0,2020-02-11 14:22:13,28.4704064,119.9184297
浙江舟山,China,11/02/2020 14:22,10,5,0,2020-02-11 14:22:13,29.987334399999998,122.2030363
浙江湖州,China,11/02/2020 14:22,10,3,0,2020-02-11 14:22:13,30.8942995,120.0851114
河南信阳,China,11/02/2020 14:22,228,28,0,2020-02-11 14:22:13,32.09583,114.12028000000001
河南南阳,China,11/02/2020 14:22,136,28,2,2020-02-11 14:22:13,32.99472,112.53278
河南郑州,China,11/02/2020 14:22,132,36,0,2020-02-11 14:22:13,34.759187700000005,113.65240759999999
河南驻马店,China,11/02/2020 14:22,126,25,0,2020-02-11 14:22:13,32.979440000000004,114.02944
河南商丘,China,11/02/2020 14:22,86,9,0,2020-02-11 14:22:13,34.417097,115.65086219999999
河南周口,China,11/02/2020 14:22,65,16,0,2020-02-11 14:22:13,33.6306299,114.64236170000001
河南平顶山,China,11/02/2020 14:22,54,13,1,2020-02-11 14:22:13,33.73847,113.30118999999999
河南新乡,China,11/02/2020 14:22,48,6,1,2020-02-11 14:22:13,35.316109999999995,113.92667
河南安阳,China,11/02/2020 14:22,46,10,0,2020-02-11 14:22:13,36.2340674,-5.7815378
河南许昌,China,11/02/2020 14:22,32,2,0,2020-02-11 14:22:13,34.05167,113.71167
河南漯河,China,11/02/2020 14:22,31,6,0,2020-02-11 14:22:13,33.5720554,114.02851629999999
河南洛阳,China,11/02/2020 14:22,28,2,0,2020-02-11 14:22:13,34.683609999999994,112.45361000000001
河南焦作,China,11/02/2020 14:22,28,1,1,2020-02-11 14:22:13,35.2075729,113.2533977
河南开封,China,11/02/2020 14:22,25,1,0,2020-02-11 14:22:13,34.796110600000006,114.34720379999999
河南鹤壁,China,11/02/2020 14:22,18,3,0,2020-02-11 14:22:13,35.89917,114.1925
河南濮阳,China,11/02/2020 14:22,11,1,0,2020-02-11 14:22:13,35.705059999999996,115.01409
河南三门峡,China,11/02/2020 14:22,7,3,0,2020-02-11 14:22:13,34.7678842,111.1908398
河南济源示范区,China,11/02/2020 14:22,4,0,0,2020-02-11 14:22:13,34.0,113.66667
河南地区待确认,China,11/02/2020 14:22,0,8,2,2020-02-11 14:22:13,34.0,113.66667
